rep,plot,plantime,fert,distance,grain
repl 1,plot 1,p4,50,1,6.843
repl 1,plot 2,p4,0,2,2.444
repl 1,plot 3,p3,50,3,5.196
repl 1,plot 4,control,100,4,6.49
repl 1,plot 5,p4,100,5,6.085
repl 1,plot 6,p3,0,6,1.852
repl 1,plot 7,p2,0,7,0.656
repl 1,plot 8,p4,50,8,3.686
repl 1,plot 9,p4,0,9,1.235
repl 1,plot 10,control,0,10,0.642
repl 1,plot 11,p3,100,11,5.326
repl 1,plot 12,p3,100,12,5.556
repl 1,plot 13,p2,50,13,4.938
repl 1,plot 14,p1,50,14,5.104
repl 1,plot 15,p2,100,15,6.261
repl 1,plot 16,p4,100,16,5.362
repl 1,plot 17,p2,50,17,3.933
repl 1,plot 18,p2,0,18,0.776
repl 1,plot 19,p1,100,19,6.085
repl 1,plot 20,p1,0,20,1.594
repl 1,plot 21,p2,100,21,6.462
repl 1,plot 22,p1,0,22,0.974
repl 1,plot 23,p1,50,23,3.799
repl 1,plot 24,control,50,24,3.566
repl 1,plot 25,p3,0,25,0.956
repl 1,plot 26,p3,50,26,3.51
repl 1,plot 27,p1,100,27,5.714
repl 2,plot 1,p3,100,4,8.614
repl 2,plot 2,p2,50,5,7.168
repl 2,plot 3,p2,50,6,6.049
repl 2,plot 4,p2,0,7,2.102
repl 2,plot 5,p4,50,8,4.935
repl 2,plot 6,p3,50,9,4.663
repl 2,plot 7,p4,0,10,0.97
repl 2,plot 8,p1,0,11,3.644
repl 2,plot 9,p2,100,12,7.697
repl 2,plot 10,p1,100,13,8.536
repl 2,plot 11,p3,50,14,5.439
repl 2,plot 12,p4,100,15,6.702
repl 2,plot 13,p3,100,16,6.744
repl 2,plot 14,p3,0,17,1.323
repl 2,plot 15,p1,100,18,7.725
repl 2,plot 16,p2,0,19,1.203
repl 2,plot 17,p1,50,20,5.933
repl 2,plot 18,p4,0,21,1.129
repl 2,plot 19,p1,0,22,1.393
repl 2,plot 20,p4,100,23,4.956
repl 2,plot 21,control,50,24,3.298
repl 2,plot 22,p3,0,25,1.136
repl 2,plot 23,p2,100,26,5.654
repl 2,plot 24,p4,50,27,4.691
repl 2,plot 25,control,100,28,5.82
repl 2,plot 26,p1,50,29,5.266
repl 2,plot 27,control,0,30,1.034
repl 3,plot 1,control,50,0,7.443
repl 3,plot 2,p1,50,1,8.219
repl 3,plot 3,p2,50,2,6.279
repl 3,plot 4,p2,0,3,2.857
repl 3,plot 5,p4,100,4,7.09
repl 3,plot 6,p3,0,5,1.905
repl 3,plot 7,control,0,6,1.481
repl 3,plot 8,p2,100,7,5.929
repl 3,plot 9,p4,100,8,5.15
repl 3,plot 10,p2,100,14,7.619
repl 3,plot 11,p1,50,15,7.019
repl 3,plot 12,p3,50,16,6.561
repl 3,plot 13,p4,50,17,5.785
repl 3,plot 14,p3,0,18,1.57
repl 3,plot 15,p1,0,19,2.822
repl 3,plot 16,p2,0,20,1.764
repl 3,plot 17,p4,0,21,2.222
repl 3,plot 18,p1,0,22,1.905
repl 3,plot 19,p2,50,23,5.185
repl 3,plot 20,control,100,24,5.185
repl 3,plot 21,p3,100,25,5.996
repl 3,plot 22,p1,100,26,6.384
repl 3,plot 23,p1,100,27,7.16
repl 3,plot 24,p4,50,28,4.243
repl 3,plot 25,p3,50,29,3.457
repl 3,plot 26,p4,0,30,0.847
repl 3,plot 27,p3,100,31,5.397
